Column Name,Explanation
time,Date and Time
PriceUSD,BTC Price in USD
HashRate,Network HashRate
TxCnt,Transaction Count
TxTfrCnt,Transfer Transaction Count
TxTfrValAdjNtv,Adjusted Native Value of Transfers
TxTfrValAdjUSD,Adjusted USD Value of Transfers
RevUSD,Revenue in USD
SplyCur,Current Supply
ROI1yr,1-Year ROI
VtyDayRet30d,Volatility (30-Day)
Date,time,PriceUSD,HashRate,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,RevUSD,SplyCur,ROI1yr,VtyDayRet30d
2018-07-21,7410.56562039743,35268339.5178439,186978,465383,154445.81056533,1144530813.9898486604475791019,12820393.9281741716615853386,17162392.33335618,177.95113547691133,0.03550893368390926
2018-07-22,7399.48374693162,46852830.6003474,167495,424218,122057.80785349,903164765.3980018993260083538,16942993.8789128248011521844,17164667.33335618,161.48858180594289,0.029268757652967152
2018-07-23,7716.15862741087,42733900.4376795,229101,554714,221726.92736483,1710880143.5154363235347977021,16213443.9696549055642942126,17166742.33332888,180.256998869195,0.029897296359023526
2018-07-24,8397.61652162478,40931868.4915123,259522,625214,253487.78475588,2128693209.2960439380532587064,16939996.671983978534714265,17168729.83330082,204.79601808120785,0.032944163747330266
2018-07-25,8202.72039538282,45565664.9245137,248976,618647,233028.45126948,1911467229.9326351887595823336,18366473.1703218274940919374,17170942.3332728,220.58243793825253,0.033499137752140536
2018-07-26,7913.93077819989,42476467.3025127,230206,569351,211596.76686402,1674562165.8527544965360089578,16511003.2853437386101399892,17173004.8332728,213.75543944528442,0.03397258156344458
2018-07-27,8173.7746113384,42991333.5728462,232444,615878,218857.67846861,1788893335.763187216854487624,17233981.99020247561325316,17175092.33327127,206.69126075564574,0.03424214712427354
2018-07-28,8190.36005669199,37327804.5991779,181696,451074,137137.77226641,1123207732.2345270215495930559,14978147.0908343932285454079,17176904.83327054,193.1584899768872,0.032593977500104857
2018-07-29,8229.60583869083,47480188.0482407,172401,456492,180647.40795954,1486656963.2881947006352090182,17620196.5302511189297378089,17179029.83316199,204.07373168289428,0.03127368282138377
2018-07-30,8171.83951928697,39630250.2088987,231060,574996,223966.17326208,1830215625.6465380608805390976,13888123.3848671154518977089,17180704.83316199,197.22432191447282,0.031275310367493356
2018-07-31,7725.13303594389,43474975.9754336,243458,593964,228957.45039601,1768726763.8797013310446398789,14393002.6476004306457110086,17182542.33315121,169.8631511916623,0.03338270605764188
2018-08-01,7596.6980119813,44362220.3830956,238104,577976,211441.71173672,1606258831.200263931391163336,14403863.602575503589220748,17184417.33311234,178.53370036519266,0.03309241471398943
2018-08-02,7542.69466189363,45249464.7907575,222669,545367,236992.13874383,1787559339.8138410726372788029,14615198.0207199030445331974,17186329.83261354,180.38238748442254,0.032923152872324314
2018-08-03,7411.34425014611,49094190.5572924,232465,637513,237332.1716347,1758950425.619523549072546017,15551435.6950937635285314642,17188404.83253624,165.66373498099105,0.033143839516584575
2018-08-04,7002.2086528346,52051671.9161655,192558,496794,135558.57793244,949209447.364484828613294424,15525662.590002212434717314,17190604.83253624,144.80911565343467,0.03491388734060257
2018-08-05,7031.58775102279,47319701.7419686,171233,453146,143360.24032818,1008050109.8753138880002592222,14158645.4795425957668306464,17192604.83229624,117.19704104017093,0.034888705340212454
2018-08-06,6929.99089421391,38743005.8012368,219051,523466,226024.33520079,1566346584.8122272271490609889,11471121.6187433755685288526,17194242.33226815,114.54304963746881,0.03483091456506532
2018-08-07,6722.57843278784,44657968.5189829,236513,575845,228471.376344,1535916747.11952830174685696,12816493.0471958266059339712,17196129.83224085,98.15636687606478,0.03528604670529664
2018-08-08,6267.3886735827,46432457.3343067,229381,574098,264809.02866329,1659661106.906740297916269083,12426577.954902830029727739,17198092.33222845,82.95330747844767,0.037536658639460485
2018-08-09,6558.09690794857,44066472.2472083,224091,556082,292543.01951496,1918525471.7229973482500256072,12351326.0153651870946852231,17199954.83222299,95.92694410997714,0.03713751813353944
2018-08-10,6135.75185856224,52051671.9161655,224863,602693,262933.12814121,1613292429.6700128658342939104,13624177.5543698454334489856,17202154.83203226,78.51889598434002,0.03908874484468674
2018-08-11,6313.74931180596,52485702.5441051,192213,470593,192244.51009536,1213783643.3130531296534163456,13512827.8359957232792415508,17204279.83203226,72.482280798333,0.03892612906847591
2018-08-12,6314.69165575687,49230273.0794214,168546,431561,137216.11465354,866477454.2380870149065248198,12316700.3812655422063521384,17206217.33203152,63.12470242563043,0.038902561352735975
2018-08-13,6265.84804383402,47642199.7542788,217348,534690,243974.78376916,1528708921.6248191989130348232,11871689.5607928657528024126,17208092.33203076,54.186879784473405,0.038909170023990955
2018-08-14,6184.82908562244,43195594.4438794,252662,625523,309915.04399143,1916771578.1501542747235756892,10680678.5938227053124546276,17209792.33203076,43.67939964883548,0.03887881701666103
2018-08-15,6270.21479865576,51135961.0695926,246292,621247,295401.05019345,1852228036.461423145347956772,12758490.2106021292114061232,17211804.83202991,50.7252105364044,0.037506814229366324
2018-08-16,6290.7504552893,50183117.074507,231430,567347,247189.36320292,1555006599.111441130103204756,12577339.88928642357381249,17213779.83202991,44.128607587461886,0.03354364226344381
2018-08-17,6563.07828872005,48277429.0843358,235627,601951,251953.78184528,1653592395.389665063898333864,12630647.851547672209759273,17215679.83202445,52.32801680501596,0.03458164832358236
2018-08-18,6399.28744681473,50818346.404564,189867,466253,139488.73830021,892628531.9765588919189900933,12904026.0438630083138895897,17217679.83181445,55.75699869073858,0.034655965864925115
2018-08-19,6490.71612711865,46054126.4291361,160808,450142,116685.67582198,757373597.861464322507737927,11871618.820812461010259995,17219492.33156289,56.01436169853755,0.03472952698958534
2018-08-20,6272.95272881356,47642199.7542788,219696,554285,217914.57866716,1366967850.8984185106329346896,11946929.71525934197763698,17221367.33110289,53.53019654356681,0.03502651096469378
2018-08-21,6473.07603945061,47006970.4242217,219552,520724,273209.14740217,1768503585.8077164975155218237,12137641.9997678854362496988,17223217.33110221,62.12577843037016,0.035667183740400774
